,1_0.0,1_2.0,1_3.0,1_4.0,1_5.0,1_6.0,1_7.0,1_9.0,1_12.0,1_16.0,2_0.0,2_2.0,2_6.0,3_0.0,3_2.0,3_3.0,3_4.0,3_5.0,3_6.0,3_7.0,3_12.0,3_16.0,4_0.0,4_2.0,4_3.0,4_4.0,4_5.0,4_6.0,4_7.0,4_9.0,4_12.0,4_16.0,5_0.0,5_2.0,5_6.0,6_0.0,6_2.0,6_3.0,6_4.0,6_5.0,6_6.0,6_7.0,6_9.0,6_12.0,6_16.0,7_0.0,7_2.0,7_3.0,7_4.0,7_5.0,7_6.0,7_7.0,7_9.0,7_12.0,7_16.0,8_0.0,8_2.0,8_6.0,9_0.0,9_2.0,9_3.0,9_4.0,9_5.0,9_6.0,9_7.0,9_9.0,9_12.0,9_16.0
undefined_genus_of_Enterobacteriaceae,5.25900189413948,-0.73920160068156,2.50865398593126,-2.475126792488642,-0.5804411675360082,-0.523802569226097,0.5965296692269269,0.07182138213865503,-1.2967482823872973,0.2191031842152768,0.0,0.0,0.0,6.190071547109664,0.04556391426995687,-4.398619071484042,0.8810136154952994,0.6025684495356294,0.7596384698997546,0.30711660863469964,0.12468621697625945,-0.050106663237808116,4.795466827784432,-0.31226808514493276,-0.8802570914675582,0.9151528298071306,-3.3113485672420797,2.7680635072247446,0.20521043523157467,-0.004287159437378192,-0.45957733309365206,-0.4268161927494968,-0.01820626927841973,-0.06200197588300349,0.09065563136648144,0.6936560319389294,0.9428006123971415,-1.6260923473392377,-0.5351507607681527,2.8948518578818327,-1.282376847155457,0.07536017870125575,0.3019385468724077,-0.19122266762884324,0.13838000547247356,2.9523738661733763,-1.0120148738370878,-0.4945908280176906,-1.312790775825722,0.09733959928408664,1.3021687999883733,0.46939068540882023,-0.03470357199924573,-0.8471549107720034,0.05494106478729372,0.0,0.0,0.0,3.9667783224457027,1.3789793746076777,-4.3468495312572974,-0.5515163670374483,4.532093551249743,-0.01048823572427704,0.14983419052896946,0.27130789691258456,-0.2747056581858125,0.004901322191287598
Blautia,-1.5365116648988262,5.195639968233452,-0.42461105406255584,6.225989276644494,0.08248422557834723,-3.0854670076246866,-0.03895689784774392,0.13426463563612723,-0.8895294628162145,0.17985597348926216,0.29469102700433414,0.002250846118733163,-0.06958131116450186,1.3050661845034246,0.5287971974371457,-1.4542341907985499,2.832773059703441,1.2080338930483077,0.8979128053988266,0.3957864784449146,0.6046522171538756,-0.08145135306868388,-1.0256107181837244,3.1692858923131775,6.662331017975912,0.05851514063681762,0.05907245695480923,-2.176125391060916,-0.13415709754972638,0.3758425211247294,-0.10374627386361196,-0.5158498677815831,-0.09528700864461559,0.06568596940510862,0.20069079357785333,-1.7359821914223739,-3.5290231799675515,3.239139418665623,-0.2208641136260896,3.174489689728445,-0.674193627623354,0.5923331130257328,0.6441896047096095,-0.025859672904682496,0.03373751760861484,0.06800766188698226,-0.9545498254137996,7.805006781865978,0.7986692494095115,1.1174200270606336,-2.336443234669503,0.025630368532024606,0.3381092582751724,-0.4331501703018348,-0.09486522053740463,0.261631239364839,0.03133064421035092,0.1416973496424267,-2.3924913144524744,1.1228235229655148,1.0417965165995433,0.9058134500429906,4.37969629425217,-0.4227674193263109,0.028648644920063804,1.1150406859274626,-0.16886899711318648,0.1334307877971785
Barnesiella,-3.1571500338062366,-0.26450485874800655,2.9075703799402444,-1.0147001200473325,-0.21797277936514536,-1.861527210059501,0.05840810206860869,0.14920363522053393,-0.8221590864189836,0.12008855949041879,0.04263369913793169,-0.009871287122734579,-0.019651761880823675,-1.1301916073323017,0.17083152931714007,-4.01922480313813,0.6441646370316487,1.4183049980043823,0.09891957238594884,0.31693011605981525,0.26317113835817874,0.0035779087342005917,-2.859113979348697,-0.18943386564892428,1.2784758352117942,0.828674271335526,-0.8578222261358031,-1.1357361948546103,0.06737100300897314,0.21233988531772616,-0.21482278395747167,-0.3015896901877486,-0.15028640126577736,-0.03994931937634011,0.0258302908598455,-4.416979436759065,0.46874181772636625,-1.4555153158789604,-0.7348033314529214,3.093780420044375,-1.2771815839341105,0.05416131404076818,0.5108323521827017,-0.1785325371435449,0.050963501515425315,-3.166630739012585,-1.2040442643738452,2.7528218256058734,-1.2913155509798644,0.7478547571184917,-1.344221514969056,-0.0689792275726484,0.21943965172638968,-0.48527948277201594,-0.015525926894375073,0.35256215456834555,-0.1839782987685537,-0.05911485880304318,-4.611763213027781,1.1251424607384157,-3.396452692909558,0.2867501796750833,3.630489424084308,0.3264134038211486,-0.4138542144973618,0.42454809607938265,-0.11556117194785909,0.09819659757336931
undefined_genus_of_unclassified_Mollicutes,-0.727930480881537,0.4286255205326803,2.173342689551345,-1.0146807275610348,-0.21799748274566788,2.8523613962445764,0.8109740428810912,0.2199838235977083,-0.6159093959187567,0.11892989781178898,-0.1877942264633603,0.8691626904585638,-0.7850202611718325,0.9139875630827827,0.17077929221175214,-3.2844861382319825,1.3373143340873206,2.922382550502771,-2.833056793729316,1.5813247654986642,0.18969720706505283,0.18886029799202517,-0.777364970872426,0.8603920888211025,0.2285938173478801,0.8287210786450734,-0.8578201422842726,3.7642473109695986,0.9632608649651189,-0.5236226372743992,0.38168195435071994,-0.14253484917868425,0.531103672838869,0.2980699225026576,-0.1497398809465775,-2.1277964862608196,-0.6288260995728301,1.9982818963298907,0.1605486328192125,-1.168902071677878,-1.363624706762291,0.05416323622964869,0.5108155416979562,-0.17850627754094472,0.05094998956400344,0.033879310159280696,-0.9545122758859241,2.752762083262331,-1.291272140588597,0.7478560838672825,-1.344247493562663,2.8399108140294107,-0.49342796206333156,0.3597940545481447,-0.04602851104778484,-0.1965273757070669,0.8508036167021068,-0.24341006180877192,-1.7567809374935113,1.1257727725392144,-0.6743195018178181,-0.0009949617654712029,2.531925713416208,-1.0092902886221689,-0.41365454355359876,2.0248705143382626,-1.315842559562543,1.3283816187807869
undefined_genus_of_Lachnospiraceae,-3.778706735869255,-0.2645284604110305,2.907576868251228,-1.0146751819804933,-0.21799688591901667,-1.8615233841939753,0.05838540215772525,0.14920798141784175,-0.8221365280533828,0.12009077531343136,-0.3786622693744544,0.10439710055689838,-0.11417239321718135,-0.9314259085028653,-0.43210285271164217,-1.8068463573713016,0.42102360221316637,-0.5708599287806475,0.098892955178842,0.43750820929746437,0.11244058794332568,0.003575321112624787,-3.76289114167142,-0.1893621042097191,1.279031304868127,0.8288484132704426,-0.8574748626964297,-1.1369342703548444,0.06766178096526954,0.2123680468670539,-0.21481684648278776,-0.3015836248804314,0.1338018307460327,-0.15899859893750762,-0.02370029620098546,-2.4356591672401433,1.0677146395705428,-1.4561048044641005,2.9158516378083306,-0.5567622264667715,-1.277200391372718,0.054526193640692,1.159171989563812,-0.664715382464504,0.050990230868416475,-2.104210521852819,-0.9528575526238825,2.7520100836501165,-1.2904874733751353,0.7464991804544123,-1.3432222453171043,-0.0690729423912888,0.21936030856212754,-0.48543112504368446,-0.015409254184998897,0.13809471012177404,-0.10921142800828432,-0.007254125613452511,-4.435623941530189,1.12513764497597,-2.971921624860272,1.385331138165169,2.1073733068467995,0.32643455061088567,-0.41384505518452075,0.42453149635869164,-0.11554921848156363,0.09818243762057806
Akkermansia,-2.561364512482495,5.569506908537267,-1.6976277445879813,3.9792268977165293,-0.484491390058557,-0.09210657212875129,-3.8044211149448834,0.14920705060218076,-0.8221453561219105,0.12009328154728927,0.0,0.0,0.0,0.8427592365293126,0.1700686021760731,-1.3495252827286564,-0.04900158131163401,3.027750703668908,-1.5105540117959277,-0.07848634130439862,0.26349452540830653,0.0036099463342777077,-1.121718889870249,-0.18928167501046467,1.2781802602455024,9.140242428095,-0.6741975346983657,-0.8337592788679553,-4.331203351886532,0.21236297117239408,-0.21483080723503445,-0.3015916619382771,0.0,0.0,0.0,-0.6103418452687772,1.0671177055250523,-1.1773168806911363,-0.04166542030424303,2.122459708621605,-1.2771927198701452,0.054168293498530584,1.0656119516802278,-0.5946032671066162,0.05095356341981892,-0.5606500380633448,-0.9545211897109489,4.415598210188254,4.857878666200213,0.7079654197565253,-1.0807734576675876,-4.086738454356615,0.21943422864196935,-0.4852789564305626,-0.01552533603742339,0.0,0.0,0.0,-0.3954079260117811,1.1251599387561013,0.5592308758948237,-0.463563696416605,0.797301609541873,-0.045826638560297894,-0.4138570890899471,0.42456247898043237,-0.11555880615674163,0.1513634947923062
Clostridium_difficile,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.171301517588301,1.7697295735975356,-0.007103705709485375,1.2293997559362282,-0.9312374855929582,0.15738613111125224,0.816525434797492,-0.010657983617442286,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.7192519465856755,0.8770188492975555,-1.1581914869600363,1.2340185484200143,-3.393406184083152,1.4309831157438773,0.9028919368772931,0.160957698630625,0.00701366105179608,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3767515106484751,-0.18099704364360858,-0.03247962667908055,0.0,3.0247798396414796,-3.6195865350479197,5.2737596326662075,2.3751351849444515,-0.5010753228347706,-1.113905809388831,0.97550624964429,0.6464626935260811,-0.0073927809408135415
unclassified_Lachnospiraceae,-3.033084764346553,-0.26472871937160214,2.9075845354848004,-1.0146982681733023,-0.21760178907981143,-1.8620427977574447,0.05821764923475303,0.14932767032080818,-0.8221112503986339,0.12012486432343497,-0.22862267645810824,0.13566321396597603,-0.009546087142028885,-1.2452662758033402,2.9131157770046228,-5.405472101202505,-0.7129629431529665,1.4186937803024406,0.09883963526286443,0.31690186986816543,0.2632603367825348,0.0035522715198032123,-2.479825079195683,-0.1894008937359466,1.2784574806517481,0.8287088099486377,-0.8578655298334885,-1.1357693075300324,0.06738512440706579,0.21234475231983416,-0.21483589813712367,-0.3015779157015552,-0.006675824344032355,-0.10885423560681187,0.048217463325746376,-0.6102985174217359,1.0670307166178095,-1.4554070738173817,1.6178665838433792,0.7410484608145662,-1.2771883374544144,0.054168644701349855,0.5108323076832401,-0.17848366037471286,0.05096275192546086,0.06803225937951929,-0.9545640074504167,4.202258886942497,-2.740743396898546,0.7479187393238202,-1.3443063799596668,-0.06897036423897607,0.21943649480410818,-0.4852832831931688,-0.015520519082462516,0.18275314099426723,-0.11929127954661836,-0.07318136418773744,-3.7859752733746435,1.125036557941689,-3.3965211762385863,0.2867893201312395,3.6304987783565164,0.3264320670658325,-0.4138644395370905,0.4245398334671598,-0.11549584783033406,0.0981414067478201
Coprobacillus,0.28035149582799157,1.9674317270738237,6.3997248537112705,-6.452761355779658,-0.5040136610545929,-1.861503414820688,0.058398412639586894,0.14920661395640109,-0.8221505756859893,0.12009174846011865,0.6068092688278255,-0.08820290551310439,-0.21888040760759914,1.946630267772857,4.369657933665165,-3.001159784880187,-0.5925543682911938,-0.08581900973854495,-2.3771628795797115,0.3169301094533351,0.2631735771530277,0.0035814774633501196,-0.34666221133656716,-0.18942998445478487,3.1251218623792445,-1.017953691088401,-0.8578279712806376,-1.135744531939599,0.06734500490962336,0.21235980264940815,-0.21483648276966827,-0.301588795027974,-0.018223213808743033,-0.2019126359093666,-0.1338603293714782,-0.6103436691850708,6.7863065813207655,-3.775507982171915,-2.8748620006037005,1.8346590473763262,-1.277176208349231,0.05415826716161476,0.5108028240040768,-0.17849871896966918,0.4288613810466982,0.06826751064098247,9.504803889328779,3.4650685264772543,-12.463720775734865,0.7479570256111714,-1.3437233260262467,-0.06915422091239432,0.21984474068220314,-0.4855207814080029,-0.015511181650694792,0.09338817076961847,-0.03930959446758098,-0.47720104607377895,-2.607785889179408,7.646978553960372,-9.919402874873551,7.161088788257893,1.800985839406077,4.388160632922262,-4.967752076109459,0.42477797316465943,-0.11463444114333043,0.09774498923765915
Enterococcus,2.079622228239825,-0.8241313406353648,4.986992760036148,-2.1777869461417403,-2.5205573710543163,1.0288118717646109,-1.0402078023696748,-0.5371815722452616,-0.4806449918718929,0.1200881981508609,0.0,0.0,0.0,2.3798983472916513,3.3314157067195955,-1.6520889156988705,0.6441196870500407,1.5360861388133396,-2.79144914350801,0.4288598585301836,0.12324677254012362,0.16053153891714705,2.3942453027523474,-0.7002616520427054,2.051672539409675,-1.7362421549668499,0.2407877616433476,-0.8480490750881797,0.27007769840100737,-0.3848980499147556,-0.47610978894420564,-0.05326683842860141,0.0,0.0,0.0,1.3728578227132244,1.877959918520344,0.7781644701324737,-1.4767635160479724,-0.5951342891176798,-3.855163933636616,2.788353041931249,0.375658001606495,0.12247764679934259,-0.03445271571444269,0.06802031234532935,0.7502354585679312,4.161498473516565,-6.185199929543158,0.7479196702140634,0.4361317713103814,-0.41553855530936223,-0.14299533173015355,-0.21345442079746757,-0.015524373220878676,0.0,0.0,0.0,-0.39505202206190937,4.796178179772279,1.2532577841866228,-2.5712020000088343,2.63724034026966,0.8570648955512197,-2.9139192472050173,1.3779030615372287,0.024324244820864704,-0.02284386312257095
Other,-1.6580422328461988,-0.44682837463080904,5.104803389860241,-1.5441876341904173,-1.9911011002766,-1.573816570757427,0.6965437815510138,-0.18032102685100662,-0.4046351143123663,0.1389540024942239,0.17506343012509587,0.05524299945017548,-0.07438993984041939,0.04100657583041789,-0.28114446067557886,-1.6476771864999833,0.04028110063066581,1.13868118714986,-2.2364526980490496,0.6388230901527328,0.40068365353488955,0.07545859841416862,-2.4661461840944345,2.2084822883856505,3.5900928726893393,-0.9904564263726527,-3.0550180324338005,2.265347732530101,-0.6972977133609395,0.23704372971549828,-0.138480317089563,-0.46625575865794006,-0.03765985832791041,-0.0631379006831551,-0.000782555139579945,-1.2697672449910433,0.011014008236827522,-2.1485792682585183,2.2977572708446026,2.7353276581212307,-8.258214235950778,2.554176477751643,1.302450828415153,-0.5837903879570374,-0.09783691670850526,-3.7549222374643354,0.9913612154746136,5.988720818343327,-4.681339198399683,-2.862296528944846,3.3073758823090618,-0.3342848361349464,-0.011601016714203105,0.6709545595451105,-0.60909129159145,0.1656542030490687,-0.10304827046344717,-0.02955024226143882,-0.31769186418299367,-0.2632281268404848,-4.520633184587045,0.8658553494737005,4.230042725418856,-3.0408664525552984,-0.1740832585887977,0.1772444680483153,1.0618124779689908,0.10424492511273034
